feature,stat_type,channel,WT_mean,FAD_mean,p_raw,p_BH,effect_r,significant
mean_ch24,mean,24,0.16181974,0.15243846,0.5045267455675012,1.0,0.12272727272727273,False
mean_ch25,mean,25,0.16308707,0.13841328,0.553963571006786,1.0,0.10909090909090909,False
mean_ch26,mean,26,0.12924305,0.13722944,0.9698659091539126,1.0,0.00909090909090909,False
mean_ch27,mean,27,0.23328765,0.19972935,0.3449593427417903,1.0,0.17272727272727273,False
mean_ch28,mean,28,0.18882672,0.16830306,0.9097694134274842,1.0,0.022727272727272728,False
mean_ch29,mean,29,0.17273875,0.16066419,0.48858036803422333,1.0,0.12727272727272726,False
mean_ch30,mean,30,0.233223,0.23807248,0.830495093930506,1.0,0.04090909090909091,False
mean_ch31,mean,31,0.23743708,0.22876205,0.9297613630880536,1.0,0.01818181818181818,False
max_ch0,max,0,1.1065989,1.1687313,0.9899531794367487,1.0,0.004545454545454545,False
max_ch1,max,1,0.86703956,0.8562389,0.7338654252600505,1.0,0.06363636363636363,False
max_ch2,max,2,1.1339608,1.004312,0.7721072972880014,1.0,0.05454545454545454,False
max_ch3,max,3,1.0269201,0.9124928,0.332247939450943,1.0,0.17727272727272728,False
max_ch4,max,4,1.2093145,0.9765257,0.5207433942699498,1.0,0.11818181818181818,False
max_ch5,max,5,1.1904453,1.2170963,0.9297613630880536,1.0,0.01818181818181818,False
max_ch6,max,6,1.2477206,1.3055634,0.8699688801390326,1.0,0.031818181818181815,False
max_ch7,max,7,0.87883055,0.9528523,0.5372244390433454,1.0,0.11363636363636363,False
max_ch8,max,8,0.96233165,0.8809071,0.632279233200101,1.0,0.08863636363636364,False
max_ch9,max,9,0.9266817,0.9092853,0.8109110008893885,1.0,0.045454545454545456,False
max_ch10,max,10,0.9313507,0.7969999,0.7914445482671524,1.0,0.05,False
max_ch11,max,11,1.3097692,1.0798832,0.7338654252600505,1.0,0.06363636363636363,False
max_ch12,max,12,0.9712451,0.7513304,0.42722490702107596,1.0,0.14545454545454545,False
max_ch13,max,13,0.9227112,0.90012306,1.0,1.0,0.0022727272727272726,False
max_ch14,max,14,1.1568778,1.1382468,0.9899527723830208,1.0,0.004545454545454545,False
max_ch15,max,15,1.0647562,0.91919714,0.5045267455675012,1.0,0.12272727272727273,False
max_ch16,max,16,1.1596406,1.0507222,0.7529105691547924,1.0,0.05909090909090909,False
max_ch17,max,17,1.4783522,1.1309994,0.7149826481971533,1.0,0.06818181818181818,False
