Subject,Flash_Peak_Max,Flash_Peak_Min,Flash_Peak_P2P,Flash_RMS,ChirpFreq_RMS,ChirpFreq_Std,ChirpAmp_RMS,ChirpAmp_Max,ChirpAmp_P2P,Power_Total,Power_Low,Power_Mid,Power_High
MR-0306,1.6786721520081302,-5.245564141364074,6.924236293372204,0.7916540972145218,0.4183637717962721,0.41836337981085475,0.3888293266335517,0.8528713091655337,2.0300887384456945,0.16695600665706167,0.09616641299542278,0.028949635542091116,0.04127067776801484
MR-0307-t2,1.2537095939478324,-2.447324155713129,3.7010337496609615,0.46728793332985824,0.270289842395655,0.2702098085571432,0.42131565581541874,1.0431932826206278,2.055239828786391,0.1023185485613697,0.08437763699646357,0.013483624958891726,0.003831597850249068
MR-0309,1.128544846741987,-3.9574890167830965,5.086033863525083,0.41847196602563064,0.7679855259604508,0.7679843111630676,0.3660775418319632,0.82488687217722,2.298481485331176,0.36637330335802165,0.1479094132036351,0.1381582306606341,0.0738225539431208
MR-0310,0.9179237980668545,-2.8052485690717117,3.723172367138566,0.5210922897054611,0.889551264913052,0.8895507668090239,0.36649552824962633,1.1769649889024727,2.2936385705111606,0.4530914862162749,0.1528164462824467,0.18348830287270224,0.11197746208326584
MR-0311,0.7837597504696759,-1.892917214823859,2.676676965293535,0.3437699391199942,0.8266193923836399,0.8266121014919995,0.26908131287092574,0.4944502323579425,1.4831343451252155,0.36234280147377756,0.09424194704279296,0.1643058457093204,0.09682718706347546
MR-0312,1.2910724706971837,-3.712131355511227,5.003203826208411,0.6012588539558728,0.588216842179516,0.5882144466869124,0.41078769972727835,0.9526830686702863,2.0244620842056857,0.23936679457892146,0.1086920826410859,0.07729282192389345,0.04919359956147975
MR-0313,1.905785812438439,-5.164623625298346,7.070409437736785,0.8823081318988579,0.37241251646849577,0.37241114470569564,0.6106643692079644,1.2995145881537895,3.0973261056922303,0.20883071429068764,0.17550623823351405,0.021088319801786975,0.011791906575826957
MR-0447,2.0099434111759917,-4.378445808418377,6.388389219594369,0.955629539815728,0.593985519309491,0.593983688488993,0.6484893862967887,2.097347920125579,3.7809385850764867,0.3831192368290387,0.2571431634467378,0.08057169618115265,0.04300546651539777
MR-0474,2.4682530929397974,-4.538323056290943,7.006576149230741,0.9704829661862442,0.5113937299595857,0.5113255709594101,0.6757485504084041,2.012986887159583,3.626742065963209,0.34761759731484443,0.270286357705684,0.0703344120781966,0.006652870729732516
MR-0491,1.8473132726971997,-4.117439545768572,5.964752818465771,0.7900211475871385,0.47811281383764165,0.4781120239462614,0.5078273084812486,1.2814610618806999,3.031282582197324,0.25300398949104963,0.17099409576355615,0.05952554116184836,0.021705261952576604
