subject,label,pred,prob_fad,attn_pos_0,attn_pos_1,attn_pos_2,attn_pos_3,attn_pos_4,attn_pos_5,attn_pos_6,attn_pos_7,attn_pos_8,attn_pos_9,attn_pos_10,attn_pos_11,attn_pos_12,attn_pos_13,attn_pos_14,attn_pos_15,attn_pos_16,attn_pos_17,attn_pos_18,attn_pos_19,attn_pos_20,attn_pos_21
MR-0305,1,1,0.5411232709884644,0.030934663489460945,0.039779357612133026,0.0440724678337574,0.04397580772638321,0.04550473764538765,0.04533207416534424,0.042260538786649704,0.05481743812561035,0.03981015831232071,0.0677141323685646,0.036512382328510284,0.06284978985786438,0.031153392046689987,0.06169205158948898,0.04095138981938362,0.0523296594619751,0.0463564395904541,0.05020216852426529,0.031209364533424377,0.04731063172221184,0.03981912508606911,0.04541226476430893
MR-0310,1,0,0.4841741621494293,0.025451606139540672,0.033562738448381424,0.034305375069379807,0.035672228783369064,0.03927773982286453,0.04282715544104576,0.044840890914201736,0.0525725781917572,0.04110666364431381,0.04381296783685684,0.037266142666339874,0.04959888756275177,0.03622709587216377,0.05760824307799339,0.043292026966810226,0.06934861838817596,0.05784552916884422,0.0782717615365982,0.034991756081581116,0.07452584058046341,0.032513972371816635,0.035080183297395706
MR-0296-t2,0,1,0.9861508011817932,0.014804532751441002,0.010491282679140568,0.00808535423129797,0.010266579687595367,0.009112492203712463,0.014695435762405396,0.015537009574472904,0.021454397588968277,0.029273448511958122,0.02151394821703434,0.07095099985599518,0.023463798686861992,0.11521562188863754,0.019063342362642288,0.1641341745853424,0.019368385896086693,0.3657170236110687,0.010307754389941692,0.027108030393719673,0.007381745148450136,0.011693562380969524,0.01036104653030634
MR-0300-t2,0,1,0.5900270938873291,0.024744564667344093,0.037037648260593414,0.009478786028921604,0.010678326711058617,0.005712474230676889,0.01218031719326973,0.01570434682071209,0.06671828031539917,0.06980819255113602,0.04668034240603447,0.054997414350509644,0.017847571521997452,0.11897901445627213,0.02062990330159664,0.1063043624162674,0.0334865041077137,0.2247781902551651,0.04976114630699158,0.04295206069946289,0.017101310193538666,0.00775242829695344,0.006666827946901321
MR-0303,0,1,0.9278966784477234,0.023453766480088234,0.018067065626382828,0.013078674674034119,0.013071376830339432,0.016076480969786644,0.026085013523697853,0.015018342062830925,0.025319235399365425,0.017657699063420296,0.05768027901649475,0.02659742347896099,0.025127576664090157,0.0575665645301342,0.021623695269227028,0.16390745341777802,0.05950253829360008,0.2620643079280853,0.01899472251534462,0.10717592388391495,0.005818140227347612,0.013205157592892647,0.01290853414684534
MR-0474,0,1,0.9198524355888367,0.0039581297896802425,0.002795472042635083,0.002022720640525222,0.002671724883839488,0.006294038146734238,0.010422367602586746,0.017888657748699188,0.2380649298429489,0.03038475289940834,0.2172948718070984,0.011521446518599987,0.13378632068634033,0.00928453542292118,0.17226167023181915,0.01534841489046812,0.06371115893125534,0.00920481700450182,0.04200408235192299,0.005183480214327574,0.0014386049006134272,0.0019377447897568345,0.002520064590498805
MR-0301-t2,1,1,0.9791056513786316,0.05472972244024277,0.023243438452482224,0.018728995695710182,0.013971819542348385,0.01656891219317913,0.012991300784051418,0.028349049389362335,0.016070568934082985,0.04756315052509308,0.012375161051750183,0.12274137884378433,0.010431837290525436,0.18447917699813843,0.007947438396513462,0.19788581132888794,0.006110606249421835,0.12915323674678802,0.005773709621280432,0.03184930235147476,0.014126605354249477,0.024012280628085136,0.020896462723612785
MR-0312,1,1,0.975166916847229,0.010040772147476673,0.007748314179480076,0.004726110026240349,0.005706099793314934,0.004977807402610779,0.007497263140976429,0.007886035367846489,0.010653707198798656,0.01725446805357933,0.010949788615107536,0.07231726497411728,0.006685859523713589,0.17560304701328278,0.0062941135838627815,0.3547038435935974,0.004648940172046423,0.23207494616508484,0.004717630799859762,0.04124030843377113,0.003300052136182785,0.005418155342340469,0.005555465817451477
MR-0313,1,1,0.9852868318557739,0.01682916097342968,0.0135396309196949,0.008877083659172058,0.010860223323106766,0.009701961651444435,0.014574510045349598,0.013323575258255005,0.01982705295085907,0.024182001128792763,0.0212582778185606,0.07483389973640442,0.01803821325302124,0.13332624733448029,0.011041437275707722,0.2179373800754547,0.005967826582491398,0.2822546660900116,0.0049970718100667,0.07204486429691315,0.00649428041651845,0.009751026518642902,0.010339658707380295
MR-0274,1,0,0.05926753953099251,0.13459090888500214,0.2647830545902252,0.04521754011511803,0.007519180420786142,0.0771896168589592,0.04977135732769966,0.04691397398710251,0.045994047075510025,0.02181844972074032,0.005179262720048428,0.02170167677104473,0.009164589457213879,0.023886283859610558,0.013953616842627525,0.06758610904216766,0.011348214000463486,0.005420205183327198,0.005644126795232296,0.0033965331967920065,0.02316294051706791,0.09757509082555771,0.018183238804340363
MR-0292-t2,1,1,0.9710842967033386,0.030124317854642868,0.017894024029374123,0.01001835335046053,0.00821156706660986,0.009036318399012089,0.013295239768922329,0.01290566474199295,0.017936456948518753,0.019691994413733482,0.02539392188191414,0.05092420428991318,0.01977536827325821,0.08942194283008575,0.010914397425949574,0.15233398973941803,0.004741685464978218,0.4006336033344269,0.007645692676305771,0.07076869904994965,0.00902581587433815,0.008911602199077606,0.010395080782473087
