subject,label,pred,prob_fad,attn_pos_0,attn_pos_1,attn_pos_2,attn_pos_3,attn_pos_4,attn_pos_5,attn_pos_6,attn_pos_7,attn_pos_8,attn_pos_9,attn_pos_10,attn_pos_11,attn_pos_12,attn_pos_13,attn_pos_14
MR-0306,0,0,0.4727807939052582,0.03627720847725868,0.15885941684246063,0.031878065317869186,0.03379193693399429,0.03862709179520607,0.03766787797212601,0.03995649144053459,0.05255289375782013,0.03556489944458008,0.0348951518535614,0.05059557780623436,0.04064881429076195,0.03965170308947563,0.3332218527793884,0.03581108897924423
MR-0491,0,1,0.6059964895248413,0.05213666707277298,0.08509562164545059,0.06141592934727669,0.04973571375012398,0.06464090198278427,0.03749497979879379,0.06158863380551338,0.14729736745357513,0.04738236963748932,0.048885319381952286,0.06735983490943909,0.04692309349775314,0.06477636843919754,0.11668040603399277,0.04858679696917534
MR-0282,0,0,0.48930197954177856,0.04162009805440903,0.0824478268623352,0.03590374439954758,0.037162065505981445,0.037209607660770416,0.04467163234949112,0.038482267409563065,0.04023076966404915,0.03732835128903389,0.0381951704621315,0.05287190526723862,0.04347579926252365,0.046653445810079575,0.3835706412792206,0.04017665982246399
MR-0273,0,1,0.5422759056091309,0.04611767828464508,0.11303940415382385,0.04231463000178337,0.039461977779865265,0.03995887562632561,0.04001959040760994,0.05756846442818642,0.045340195298194885,0.045190226286649704,0.03944232687354088,0.054747842252254486,0.040750790387392044,0.05151122063398361,0.3044074773788452,0.04012924060225487
MR-0289,0,1,0.5502529740333557,0.03949223458766937,0.08434028923511505,0.03547398000955582,0.04107324033975601,0.04715633764863014,0.055897824466228485,0.03938129171729088,0.052418190985918045,0.049062326550483704,0.05741922929883003,0.06369786709547043,0.0801948681473732,0.05614081397652626,0.25608617067337036,0.04216527193784714
MR-0292-t1,1,1,0.6345430612564087,0.06556137651205063,0.090861015021801,0.07931189239025116,0.04873182252049446,0.05305582284927368,0.08493861556053162,0.04941929876804352,0.07156259566545486,0.05219090357422829,0.05482577905058861,0.061893608421087265,0.042402058839797974,0.06450226157903671,0.12842027842998505,0.05232272297143936
MR-0278,1,1,0.5820478200912476,0.044114794582128525,0.07563523948192596,0.04346350207924843,0.045627664774656296,0.06177172809839249,0.04910653829574585,0.0551590733230114,0.12172169238328934,0.04983051121234894,0.04601452127099037,0.058326829224824905,0.05606944113969803,0.05717160180211067,0.18693846464157104,0.049048371613025665
MR-0290,1,0,0.43627843260765076,0.03443498909473419,0.06952220946550369,0.03118422068655491,0.0333627350628376,0.040070414543151855,0.04257996752858162,0.03578665107488632,0.1652476191520691,0.035573896020650864,0.03322095051407814,0.04558837413787842,0.040567927062511444,0.04149112105369568,0.3171001076698303,0.03426879644393921
MR-0285-t1,1,1,0.6185079216957092,0.04743083566427231,0.06252241879701614,0.056672632694244385,0.04946758225560188,0.06265003234148026,0.05503108724951744,0.06511319428682327,0.13090763986110687,0.05063430964946747,0.051879286766052246,0.06720851361751556,0.0506318099796772,0.08228922635316849,0.11223561316728592,0.05532583221793175
MR-0311,0,0,0.3687107264995575,0.08766809850931168,0.44490352272987366,0.03712237998843193,0.02912854216992855,0.02873098850250244,0.033017005771398544,0.03767199069261551,0.06358398497104645,0.03363063931465149,0.030445663258433342,0.029092473909258842,0.032565295696258545,0.032453086227178574,0.047057535499334335,0.0329287052154541
