subject,label,pred,prob_fad,attn_pos_0,attn_pos_1,attn_pos_2,attn_pos_3,attn_pos_4,attn_pos_5,attn_pos_6,attn_pos_7,attn_pos_8,attn_pos_9,attn_pos_10,attn_pos_11,attn_pos_12,attn_pos_13,attn_pos_14,attn_pos_15,attn_pos_16,attn_pos_17,attn_pos_18,attn_pos_19,attn_pos_20,attn_pos_21,attn_pos_22,attn_pos_23,attn_pos_24,attn_pos_25,attn_pos_26,attn_pos_27,attn_pos_28,attn_pos_29,attn_pos_30,attn_pos_31
MR-0309,0,1,0.6181831955909729,0.008670702576637268,0.00914854183793068,0.015370773151516914,0.01655767485499382,0.014473550952970982,0.02434633858501911,0.027494750916957855,0.03266666829586029,0.02940003201365471,0.030649259686470032,0.028471464291214943,0.032060474157333374,0.04582209512591362,0.0609121210873127,0.08988489210605621,0.06540809571743011,0.06567880511283875,0.047577954828739166,0.024899901822209358,0.023297378793358803,0.020392809063196182,0.03238385543227196,0.03646569326519966,0.05514034628868103,0.04605351760983467,0.03517141938209534,0.017994524911046028,0.013949398882687092,0.013154001906514168,0.012258241884410381,0.014770588837563992,0.009474145248532295
MR-0296-t1,0,1,0.5105583667755127,0.013171810656785965,0.016717923805117607,0.015498732216656208,0.027231654152274132,0.039827968925237656,0.13122068345546722,0.11892467737197876,0.09422095865011215,0.09512722492218018,0.04376751556992531,0.03239927440881729,0.021378174424171448,0.018923373892903328,0.018404165282845497,0.016814060509204865,0.025575175881385803,0.017996896058321,0.023968786001205444,0.015924887731671333,0.016187863424420357,0.017076853662729263,0.017077673226594925,0.016919204965233803,0.016593752428889275,0.016466816887259483,0.017219286412000656,0.015750929713249207,0.01692475751042366,0.01652620919048786,0.016690008342266083,0.016211751848459244,0.013260935433208942
MR-0288-t2,0,0,0.3557852804660797,0.011632849462330341,0.013276015408337116,0.013942831195890903,0.020515458658337593,0.03840144723653793,0.0625535249710083,0.044361867010593414,0.07317439466714859,0.03924940526485443,0.0249803364276886,0.01946854218840599,0.020693933591246605,0.020414864644408226,0.022319793701171875,0.01974845863878727,0.01720176823437214,0.03728775307536125,0.1245821863412857,0.03676634654402733,0.09704799205064774,0.02078680321574211,0.02592688612639904,0.032978564500808716,0.027213525027036667,0.023293349891901016,0.019627470523118973,0.01800713688135147,0.016650881618261337,0.015267562121152878,0.015322641469538212,0.01480496022850275,0.012500397861003876
MR-0284,0,1,0.8538994789123535,0.00635061739012599,0.006911986041814089,0.012364954687654972,0.008203282952308655,0.03277759626507759,0.016457775607705116,0.03746682405471802,0.017928332090377808,0.025993553921580315,0.0185293797403574,0.026226509362459183,0.040874186903238297,0.0681329071521759,0.11076584458351135,0.13169389963150024,0.2016553431749344,0.06037100404500961,0.021212231367826462,0.00997365266084671,0.011243831366300583,0.013800895772874355,0.015118405222892761,0.01643395982682705,0.01359726395457983,0.012812781147658825,0.010362057015299797,0.00934778805822134,0.008426491171121597,0.008367608301341534,0.009163172915577888,0.010082251392304897,0.007353631779551506
MR-0307-t2,1,1,0.5772687196731567,0.009906877763569355,0.011668833903968334,0.015918675810098648,0.025120576843619347,0.039975665509700775,0.06048683077096939,0.19559702277183533,0.04146062210202217,0.07673511654138565,0.04014667868614197,0.027365241199731827,0.025853415951132774,0.023190069943666458,0.054330550134181976,0.06193261593580246,0.06345955282449722,0.021786026656627655,0.018022511154413223,0.016246329993009567,0.014210746623575687,0.013199379667639732,0.013707749545574188,0.014353690668940544,0.013247597962617874,0.013447187840938568,0.013184125535190105,0.013307015411555767,0.01264155562967062,0.013278820551931858,0.013017530553042889,0.01259513758122921,0.0106062525883317
MR-0447,1,1,0.6391342282295227,0.008500060066580772,0.010203331708908081,0.011258811689913273,0.014485500752925873,0.018853170797228813,0.017978796735405922,0.027016988024115562,0.10432097315788269,0.03918755054473877,0.07037793844938278,0.04575715586543083,0.031287044286727905,0.03499472513794899,0.06006418541073799,0.06612609326839447,0.10291939228773117,0.04786009341478348,0.03931877762079239,0.019946720451116562,0.02294464223086834,0.02140926383435726,0.02071215957403183,0.024927878752350807,0.024187693372368813,0.025469642132520676,0.019739627838134766,0.014073297381401062,0.011053936555981636,0.011423821561038494,0.011919640004634857,0.012204498052597046,0.009476520121097565
MR-0287,1,1,0.573920488357544,0.0141431400552392,0.015068775042891502,0.017103010788559914,0.036106232553720474,0.06633694469928741,0.13120868802070618,0.09419742971658707,0.02951931580901146,0.0345124751329422,0.02008795738220215,0.025775976479053497,0.027096504345536232,0.0245471503585577,0.02264723926782608,0.03168098255991936,0.04399403557181358,0.036923088133335114,0.025550920516252518,0.024166816845536232,0.025658367201685905,0.02657167799770832,0.021849725395441055,0.02766996994614601,0.02455836534500122,0.021891651675105095,0.0216361153870821,0.01883891597390175,0.019834531471133232,0.018536880612373352,0.019091103225946426,0.018382830545306206,0.014813248999416828
MR-0280-t2,1,1,0.5749131441116333,0.013425673358142376,0.021235840395092964,0.024880176410079002,0.038982752710580826,0.06458602100610733,0.060722604393959045,0.09175172448158264,0.03612685576081276,0.033787503838539124,0.02703242003917694,0.039547890424728394,0.03354419395327568,0.08343464881181717,0.0359777957201004,0.027476392686367035,0.018561115488409996,0.02475006692111492,0.025589166209101677,0.02224820666015148,0.02204546146094799,0.01887020468711853,0.024138273671269417,0.029267556965351105,0.020055271685123444,0.025158273056149483,0.02010459266602993,0.018803773447871208,0.021615272387862206,0.01927448809146881,0.01908254437148571,0.0192523505538702,0.018670877441763878
MR-0299-t1,0,1,0.6561330556869507,0.01184335257858038,0.0047951918095350266,0.009773466736078262,0.01538587175309658,0.00230771373026073,0.2216966152191162,0.09792109578847885,0.1418464481830597,0.06089313328266144,0.017777565866708755,0.026988204568624496,0.008396229706704617,0.010703756473958492,0.013141108676791191,0.0069528562016785145,0.0685204565525055,0.027246763929724693,0.07282467931509018,0.031839121133089066,0.01717504672706127,0.007266688626259565,0.012662255205214024,0.009540596045553684,0.03524254262447357,0.015582527965307236,0.008427253924310207,0.009958590380847454,0.010836135596036911,0.005514521151781082,0.009333438239991665,0.003608525265008211,0.0039981952868402
MR-0300-t1,0,0,0.2727356255054474,0.008306493982672691,0.004992110189050436,0.008051843382418156,0.012922595255076885,0.005196482874453068,0.19701461493968964,0.01509352307766676,0.016431422904133797,0.019155627116560936,0.12570825219154358,0.006579009350389242,0.00317995622754097,0.002018122700974345,0.00583855714648962,0.007303232327103615,0.14058969914913177,0.03862367197871208,0.0262006688863039,0.033955082297325134,0.0068069687113165855,0.008266951888799667,0.011343997903168201,0.015903158113360405,0.01886710710823536,0.029854504391551018,0.18960198760032654,0.004757408984005451,0.0032705331686884165,0.011526006273925304,0.009727178141474724,0.006518495734781027,0.006394661962985992
MR-0270,0,0,0.010656927712261677,0.003284317208454013,0.002844503615051508,0.006603216752409935,0.002736323047429323,0.003185064299032092,0.0914507731795311,0.10536138713359833,0.2535628378391266,0.28759080171585083,0.1330839842557907,0.020725538954138756,0.004778120666742325,0.005117553286254406,0.004517524037510157,0.007862623780965805,0.003933494444936514,0.0035545346327126026,0.004814642481505871,0.0029856888577342033,0.0024341922253370285,0.0025859493762254715,0.003148987190797925,0.0036947305779904127,0.003586318576708436,0.00446639209985733,0.004583663307130337,0.004638012498617172,0.00511298980563879,0.005605805665254593,0.004965434782207012,0.003753356169909239,0.00343131460249424
MR-0283-t2,0,1,0.9723951816558838,0.008867254480719566,0.006692368537187576,0.005517125129699707,0.022859839722514153,0.010791268199682236,0.5398586392402649,0.0755205899477005,0.014757475815713406,0.012633655220270157,0.0458131842315197,0.006218666210770607,0.005751112010329962,0.028046585619449615,0.014785795472562313,0.012025266885757446,0.00979688297957182,0.007897831499576569,0.013390041887760162,0.038882698863744736,0.012078456580638885,0.00977657362818718,0.009342185221612453,0.017525020986795425,0.007963765412569046,0.006657278165221214,0.010703304782509804,0.01310859527438879,0.010156930424273014,0.004682582337409258,0.006017516367137432,0.00668988935649395,0.005191620439291
MR-0310,1,0,0.03376472741365433,0.003234184579923749,0.004721108824014664,0.007216497324407101,0.0039510345086455345,0.007979331538081169,0.014268992468714714,0.029228242114186287,0.17004281282424927,0.2217697650194168,0.0165645033121109,0.005236894823610783,0.0036053331568837166,0.0032222960144281387,0.007131654303520918,0.01357418391853571,0.03563776612281799,0.0602644644677639,0.009332209825515747,0.009760785847902298,0.010812101885676384,0.004216812085360289,0.009325019083917141,0.005885781720280647,0.010950833559036255,0.05151410400867462,0.0410165898501873,0.18280313909053802,0.01673996075987816,0.03184468299150467,0.0022690491750836372,0.0023322198539972305,0.003547623520717025
MR-0305,1,1,0.940563440322876,0.002980672288686037,0.0033010332845151424,0.0024213173892349005,0.004327668342739344,0.0024893609806895256,0.0063730888068675995,0.013953320682048798,0.021092412993311882,0.024762094020843506,0.03215177729725838,0.007921474054455757,0.0032440167851746082,0.004059033002704382,0.006921232677996159,0.0473150797188282,0.4771519601345062,0.15341618657112122,0.018191030248999596,0.007203562185168266,0.004733447451144457,0.0032705997582525015,0.0021382863633334637,0.0029498753137886524,0.005824278108775616,0.011859769932925701,0.03319919481873512,0.057359665632247925,0.013413434848189354,0.019859516993165016,0.001919888542033732,0.0015966270584613085,0.0025990933645516634
MR-0304-t2,1,0,0.02683597430586815,0.0038886519614607096,0.0038018422201275826,0.004491021856665611,0.016342444345355034,0.0036305796820670366,0.018106622621417046,0.06325483322143555,0.24807050824165344,0.29486554861068726,0.03471827134490013,0.011599653400480747,0.003111363621428609,0.0029677841812372208,0.010240580886602402,0.03842812031507492,0.026631271466612816,0.03733029589056969,0.008332245983183384,0.010665017180144787,0.010105974972248077,0.00599336251616478,0.0032916483469307423,0.004330492578446865,0.01277871336787939,0.01533968560397625,0.03862074390053749,0.04237590357661247,0.006978462915867567,0.011604118160903454,0.0022005965001881123,0.00221779802814126,0.0036857379600405693
MR-0302-t2,1,1,0.5041651725769043,0.009803217835724354,0.006846352014690638,0.010717795230448246,0.017787372693419456,0.005374100059270859,0.21112298965454102,0.027661968022584915,0.12258622795343399,0.11275367438793182,0.16867627203464508,0.011160312220454216,0.010345667600631714,0.008335274644196033,0.007602329831570387,0.05892731994390488,0.03738506883382797,0.010427494533360004,0.025844627991318703,0.022740110754966736,0.01091593224555254,0.008575676940381527,0.01002044603228569,0.004342505242675543,0.004506303928792477,0.010610352270305157,0.0140842255204916,0.008786123245954514,0.006539131980389357,0.011874220333993435,0.00873146764934063,0.006964033003896475,0.007951457053422928
MR-0302-t1,1,0,0.176431804895401,0.0021188585087656975,0.0016902745701372623,0.001946736709214747,0.005746634677052498,0.001671688398346305,0.06299113482236862,0.08352119475603104,0.061750929802656174,0.16334205865859985,0.14833854138851166,0.01139756292104721,0.0025614253245294094,0.003184098983183503,0.0051699741743505,0.03693905100226402,0.29837700724601746,0.05110585689544678,0.006249098107218742,0.0059402091428637505,0.0029139292892068624,0.0028791765216737986,0.0014525209553539753,0.0013001554179936647,0.0034347171895205975,0.0036832657642662525,0.009288606233894825,0.007273421622812748,0.004009887110441923,0.005381111055612564,0.0015382253332063556,0.001121376408264041,0.0016812884714454412
MR-0474,0,1,0.7126750946044922,0.012360417284071445,0.047670625150203705,0.0021367305889725685,0.0028663978446274996,0.002543250797316432,0.07543724775314331,0.07162202149629593,0.04119338467717171,0.011042194440960884,0.0140177421271801,0.05320385470986366,0.05953463912010193,0.030003627762198448,0.035093795508146286,0.0443955659866333,0.01916372776031494,0.0125233493745327,0.010888289660215378,0.016022633761167526,0.0189985204488039,0.025376025587320328,0.023986700922250748,0.02383769489824772,0.02371705137193203,0.025790313258767128,0.02631879784166813,0.02376915141940117,0.025342348963022232,0.02768927626311779,0.022046096622943878,0.1464501917362213,0.024958407506346703
MR-0296-t2,0,1,0.9950932264328003,0.025250442326068878,0.03486276790499687,0.01579202711582184,0.00031981823849491775,0.008737179450690746,0.0035678267013281584,0.028037820011377335,0.012160580605268478,0.009576771408319473,0.010315122082829475,0.011830556206405163,0.023951848968863487,0.03209516033530235,0.12408851832151413,0.04328882694244385,0.09846946597099304,0.01272318884730339,0.029819771647453308,0.010197139345109463,0.04298270121216774,0.04951664060354233,0.03195101395249367,0.03188755735754967,0.026824863627552986,0.030054684728384018,0.03958562761545181,0.027958575636148453,0.032013628631830215,0.039189863950014114,0.03818420320749283,0.01395200751721859,0.060813818126916885
