Subject,nAUC_15,nAUC_30,nAUC_45,nAUC_all,LRS_15,LRS_30,LRS_45,LRS_all
MR-0300-t1,0.3965363815860973,0.4517183215995478,0.5067387198854233,0.47338535199162624,0.022738890932635838,0.002575262224061798,0.005115725373506703,0.00485135683181879
MR-0300-t2,0.5686547637757838,0.853311875048735,0.9538223501206319,0.8317957501006016,0.032547669790553395,0.006854774890097052,0.004224728856516657,0.013943594077368305
MR-0301-t2,0.24779875647709407,0.36695304057177075,0.45812049149864736,0.37553089288467084,0.017381562214896767,0.005929406162654421,0.00599532147870115,0.007883322834502809
MR-0302-t1,0.37493091213714286,0.5138939450464751,0.542526878556769,0.501862520376717,0.027508418753854923,0.0031146277095623516,0.0010201360639066522,0.0066383508127414205
MR-0302-t2,0.7041661501019367,0.6638763073319718,0.6686127580674383,0.7119734333676802,0.02965810924346225,-0.008662891702046645,0.003138720069119997,0.00010509609509052638
MR-0303,0.3960559506854311,0.5833603329220503,0.652761242142497,0.5715347776494076,0.032206585099393094,0.003866278235482114,0.006405123529434306,0.009903158000118458
MR-0304-t2,0.39719230864288557,0.5751513556318567,0.6576530690662286,0.5710280898490101,0.023573018585408292,0.010966345969471988,0.0035086681911236724,0.009876800829581906
MR-0305,0.4169611968887386,0.5403529243211206,0.5839407787671053,0.5391531968382618,0.024805186373350052,0.003764158002099796,0.0026568861644123403,0.006640699043218165
MR-0306,0.31251555000355924,0.44299086022734807,0.45692069667502694,0.4245424586418749,0.0226245562246014,0.002329362296117128,0.0009059410765290461,0.005711489784306672
MR-0307-t2,0.4828557915662142,0.6538842109589471,0.6859063945359131,0.638871316535593,0.032711801073018715,0.007865826237413174,0.002786489067690321,0.008305684287968898
MR-0309,1.0044093652486636,1.197727437087207,1.0114286765952667,1.1258143328688746,0.07256127169322951,-0.009893806267499364,-0.0048182246704636805,0.0029113945378784123
MR-0310,0.5482168292954229,0.7549902445704009,0.8305964849116448,0.7472676874522752,0.04183933513544723,0.0060831814635344305,0.006195395613301069,0.01115847942438253
MR-0311,0.6358319581151998,0.8113382486631069,0.8296184337004192,0.7973192745771278,0.03512385950831858,0.009795924609798976,-0.005658133647067894,0.007978797282400448
MR-0312,0.43718968790360974,0.4979200513911704,0.5450513687212604,0.5185132959114281,0.028944749627540425,-0.000528078352477521,0.002844025426457269,0.004854889597547313
MR-0313,0.31719688277248775,0.4068564326933012,0.4549411244790223,0.41231780903475984,0.02004956996416825,-0.0007802706908676953,0.006167860049023741,0.005446066049006652
